ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
ckcav9r8901vx0y42esxt6xpk,ckcav55w65snq0bo820bchgeb,https://storage.labelbox.com/ckcav026m00ui07153ar12b39%2Fc993e589-9940-4f37-6429-5eab297517c7-images_34.jpg?Expires=1595272423305&KeyName=labelbox-assets-key-1&Signature=sscYxAlfVsJ5_hlbo4LvVHezYNk,"{""objects"":[{""featureId"":""ckcavfwue1nq80y477veihjzt"",""schemaId"":""ckcavegzz3lza0y6fa11y43fh"",""title"":""Car_num_plate"",""value"":""car_num_plate"",""color"":""#FF0000"",""bbox"":{""top"":109,""left"":66,""height"":29,""width"":125},""instanceURI"":""https://api.labelbox.com/masks/feature/ckcavfwue1nq80y477veihjzt?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2NhdjAyNzdmaHAwMDc3OGNtNW9hbTQ0Iiwib3JnYW5pemF0aW9uSWQiOiJja2NhdjAyNm0wMHVpMDcxNTNhcjEyYjM5IiwiaWF0IjoxNTk0MDYyODIzLCJleHAiOjE1OTY2NTQ4MjN9.wbaVb6C88pFrWNHP59Q2SOp_wEkKehjSeTI0fh-q90Y""}],""classifications"":[]}",manjunathn04@gmail.com,CarDataset,1594061855000,1594062165000,141.096,images_34.jpg,-1,-1,,,Car_num_plate,[],https://editor.labelbox.com?project=ckcav36kp00y60720wmt4e4lz&label=ckcav9r8901vx0y42esxt6xpk
ckcavfldi3m0k0y6fe1cn2x4d,ckcav55w65so20bo8arc53279,https://storage.labelbox.com/ckcav026m00ui07153ar12b39%2Fa9e3b06a-751e-6abf-a4cb-947470bd8d97-images_38.jpg?Expires=1595272423315&KeyName=labelbox-assets-key-1&Signature=5aqA9-Bbpvkn08S0EUGvtqIyxY0,"{""objects"":[{""featureId"":""ckcavf7kn3m010y6fb91816xd"",""schemaId"":""ckcavegzz3lza0y6fa11y43fh"",""title"":""Car_num_plate"",""value"":""car_num_plate"",""color"":""#FF0000"",""bbox"":{""top"":68,""left"":94,""height"":60,""width"":124},""instanceURI"":""https://api.labelbox.com/masks/feature/ckcavf7kn3m010y6fb91816xd?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2NhdjAyNzdmaHAwMDc3OGNtNW9hbTQ0Iiwib3JnYW5pemF0aW9uSWQiOiJja2NhdjAyNm0wMHVpMDcxNTNhcjEyYjM5IiwiaWF0IjoxNTk0MDYyODIzLCJleHAiOjE1OTY2NTQ4MjN9.wbaVb6C88pFrWNHP59Q2SOp_wEkKehjSeTI0fh-q90Y""}],""classifications"":[]}",manjunathn04@gmail.com,CarDataset,1594062127000,1594062165000,69.436,images_38.jpg,-1,-1,,,Car_num_plate,[],https://editor.labelbox.com?project=ckcav36kp00y60720wmt4e4lz&label=ckcavfldi3m0k0y6fe1cn2x4d
ckcavgkgs3tze0y6g8uv5ec9u,ckcav55w75soe0bo8aqng6ec1,https://storage.labelbox.com/ckcav026m00ui07153ar12b39%2Fed3fece7-76af-5dbb-a439-7ef4877f35b9-images_41.jpg?Expires=1595272423316&KeyName=labelbox-assets-key-1&Signature=zwfm6cnyg-g6XgF10Prn-HOQDwU,"{""objects"":[{""featureId"":""ckcavgjdc3m2p0y6fenokgwvc"",""schemaId"":""ckcavegzz3lza0y6fa11y43fh"",""title"":""Car_num_plate"",""value"":""car_num_plate"",""color"":""#FF0000"",""bbox"":{""top"":100,""left"":144,""height"":15,""width"":71},""instanceURI"":""https://api.labelbox.com/masks/feature/ckcavgjdc3m2p0y6fenokgwvc?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2NhdjAyNzdmaHAwMDc3OGNtNW9hbTQ0Iiwib3JnYW5pemF0aW9uSWQiOiJja2NhdjAyNm0wMHVpMDcxNTNhcjEyYjM5IiwiaWF0IjoxNTk0MDYyODIzLCJleHAiOjE1OTY2NTQ4MjN9.wbaVb6C88pFrWNHP59Q2SOp_wEkKehjSeTI0fh-q90Y""}],""classifications"":[]}",manjunathn04@gmail.com,CarDataset,1594062173000,1594062280000,23.907,images_41.jpg,-1,-1,,,Car_num_plate,[],https://editor.labelbox.com?project=ckcav36kp00y60720wmt4e4lz&label=ckcavgkgs3tze0y6g8uv5ec9u
ckcavhr6a3u2i0y6gcipv3re6,ckcav55w75soq0bo80mif52nb,https://storage.labelbox.com/ckcav026m00ui07153ar12b39%2F7a3d541e-ef7e-7cee-7a55-be82c4e9b6df-images_46.jpg?Expires=1595272423317&KeyName=labelbox-assets-key-1&Signature=muT1m8oESFOuhAcqoxaQYT-RKV4,"{""objects"":[{""featureId"":""ckcavhpth3u2g0y6g9y0ohesg"",""schemaId"":""ckcavegzz3lza0y6fa11y43fh"",""title"":""Car_num_plate"",""value"":""car_num_plate"",""color"":""#FF0000"",""bbox"":{""top"":114,""left"":51,""height"":31,""width"":123},""instanceURI"":""https://api.labelbox.com/masks/feature/ckcavhpth3u2g0y6g9y0ohesg?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2NhdjAyNzdmaHAwMDc3OGNtNW9hbTQ0Iiwib3JnYW5pemF0aW9uSWQiOiJja2NhdjAyNm0wMHVpMDcxNTNhcjEyYjM5IiwiaWF0IjoxNTk0MDYyODIzLCJleHAiOjE1OTY2NTQ4MjN9.wbaVb6C88pFrWNHP59Q2SOp_wEkKehjSeTI0fh-q90Y""}],""classifications"":[]}",manjunathn04@gmail.com,CarDataset,1594062228000,1594062281000,5.318,images_46.jpg,-1,-1,,,Car_num_plate,[],https://editor.labelbox.com?project=ckcav36kp00y60720wmt4e4lz&label=ckcavhr6a3u2i0y6gcipv3re6
ckcavjhda3u7e0y6gcw58eq04,ckcav55w55sli0bo8ai1r7dkt,https://storage.labelbox.com/ckcav026m00ui07153ar12b39%2F2ac20f56-10b8-3b7a-d8d6-548eb3a6c2b0-images_1.jpg?Expires=1595272423317&KeyName=labelbox-assets-key-1&Signature=4q3_Fo9UbJhhTvLQpZxl5zbIrvc,"{""objects"":[{""featureId"":""ckcavjfy83u750y6ga4gn6pvu"",""schemaId"":""ckcavegzz3lza0y6fa11y43fh"",""title"":""Car_num_plate"",""value"":""car_num_plate"",""color"":""#FF0000"",""bbox"":{""top"":59,""left"":85,""height"":74,""width"":173},""instanceURI"":""https://api.labelbox.com/masks/feature/ckcavjfy83u750y6ga4gn6pvu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2NhdjAyNzdmaHAwMDc3OGNtNW9hbTQ0Iiwib3JnYW5pemF0aW9uSWQiOiJja2NhdjAyNm0wMHVpMDcxNTNhcjEyYjM5IiwiaWF0IjoxNTk0MDYyODIzLCJleHAiOjE1OTY2NTQ4MjN9.wbaVb6C88pFrWNHP59Q2SOp_wEkKehjSeTI0fh-q90Y""}],""classifications"":[]}",manjunathn04@gmail.com,CarDataset,1594062309000,1594062426000,11.015,images_1.jpg,-1,-1,,,Car_num_plate,[],https://editor.labelbox.com?project=ckcav36kp00y60720wmt4e4lz&label=ckcavjhda3u7e0y6gcw58eq04
ckcavk07x3ua90y6g26muaafz,ckcav55w75sp20bo8g2o35qel,https://storage.labelbox.com/ckcav026m00ui07153ar12b39%2F92b4fdb3-8074-2081-59f9-c64593c89784-images_50.jpg?Expires=1595272423318&KeyName=labelbox-assets-key-1&Signature=30WV85YkCJ7D1lNqx8_3rU0Mm8U,"{""objects"":[{""featureId"":""ckcavjwh93u9t0y6gdg1m8lnq"",""schemaId"":""ckcavegzz3lza0y6fa11y43fh"",""title"":""Car_num_plate"",""value"":""car_num_plate"",""color"":""#FF0000"",""bbox"":{""top"":87,""left"":43,""height"":33,""width"":52},""instanceURI"":""https://api.labelbox.com/masks/feature/ckcavjwh93u9t0y6gdg1m8lnq?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2NhdjAyNzdmaHAwMDc3OGNtNW9hbTQ0Iiwib3JnYW5pemF0aW9uSWQiOiJja2NhdjAyNm0wMHVpMDcxNTNhcjEyYjM5IiwiaWF0IjoxNTk0MDYyODIzLCJleHAiOjE1OTY2NTQ4MjN9.wbaVb6C88pFrWNHP59Q2SOp_wEkKehjSeTI0fh-q90Y""}],""classifications"":[]}",manjunathn04@gmail.com,CarDataset,1594062333000,1594062427000,23.613,images_50.jpg,-1,-1,,,Car_num_plate,[],https://editor.labelbox.com?project=ckcav36kp00y60720wmt4e4lz&label=ckcavk07x3ua90y6g26muaafz
ckcavk8i03ubc0y6g32wpb3u2,ckcav55w55slu0bo8bv2jeatm,https://storage.labelbox.com/ckcav026m00ui07153ar12b39%2F9ddf52e8-2e60-a270-4d3a-f936752b324b-images_4.jpg?Expires=1595272423319&KeyName=labelbox-assets-key-1&Signature=5BpxTM6Rv4vOsW8t-yxB-LS_Ly4,"{""objects"":[{""featureId"":""ckcavk7fm3mc00y6fg11t8qd5"",""schemaId"":""ckcavegzz3lza0y6fa11y43fh"",""title"":""Car_num_plate"",""value"":""car_num_plate"",""color"":""#FF0000"",""bbox"":{""top"":115,""left"":66,""height"":15,""width"":59},""instanceURI"":""https://api.labelbox.com/masks/feature/ckcavk7fm3mc00y6fg11t8qd5?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2NhdjAyNzdmaHAwMDc3OGNtNW9hbTQ0Iiwib3JnYW5pemF0aW9uSWQiOiJja2NhdjAyNm0wMHVpMDcxNTNhcjEyYjM5IiwiaWF0IjoxNTk0MDYyODIzLCJleHAiOjE1OTY2NTQ4MjN9.wbaVb6C88pFrWNHP59Q2SOp_wEkKehjSeTI0fh-q90Y""}],""classifications"":[]}",manjunathn04@gmail.com,CarDataset,1594062344000,1594062428000,7.708,images_4.jpg,-1,-1,,,Car_num_plate,[],https://editor.labelbox.com?project=ckcav36kp00y60720wmt4e4lz&label=ckcavk8i03ubc0y6g32wpb3u2
ckcavl9uj3mg40y6f6ccwbad2,ckcav55w85spe0bo8gabgfqh6,https://storage.labelbox.com/ckcav026m00ui07153ar12b39%2Fdc7c764f-038b-6ff3-058e-1a353065899b-images_53.jpg?Expires=1595272423319&KeyName=labelbox-assets-key-1&Signature=JOSb_qrxMiQHTB7oYl1lYOr1atQ,"{""objects"":[{""featureId"":""ckcavl3wa3ue60y6gfo0vcpq4"",""schemaId"":""ckcavegzz3lza0y6fa11y43fh"",""title"":""Car_num_plate"",""value"":""car_num_plate"",""color"":""#FF0000"",""bbox"":{""top"":108,""left"":124,""height"":52,""width"":76},""instanceURI"":""https://api.labelbox.com/masks/feature/ckcavl3wa3ue60y6gfo0vcpq4?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2NhdjAyNzdmaHAwMDc3OGNtNW9hbTQ0Iiwib3JnYW5pemF0aW9uSWQiOiJja2NhdjAyNm0wMHVpMDcxNTNhcjEyYjM5IiwiaWF0IjoxNTk0MDYyODIzLCJleHAiOjE1OTY2NTQ4MjN9.wbaVb6C88pFrWNHP59Q2SOp_wEkKehjSeTI0fh-q90Y""}],""classifications"":[]}",manjunathn04@gmail.com,CarDataset,1594062392000,1594062430000,17.149,images_53.jpg,-1,-1,,,Car_num_plate,[],https://editor.labelbox.com?project=ckcav36kp00y60720wmt4e4lz&label=ckcavl9uj3mg40y6f6ccwbad2
ckcavlop81o8z0y47ffic8zs1,ckcav55w65sm60bo86vrp77im,https://storage.labelbox.com/ckcav026m00ui07153ar12b39%2F0cc48762-931a-0aed-4c4a-17386bf73f5d-images_10.jpg?Expires=1595272423320&KeyName=labelbox-assets-key-1&Signature=o3PrSGBJpYjS0EnIzAz1FzC9M34,"{""objects"":[{""featureId"":""ckcavln1m3ufv0y6ghtkxg0o9"",""schemaId"":""ckcavegzz3lza0y6fa11y43fh"",""title"":""Car_num_plate"",""value"":""car_num_plate"",""color"":""#FF0000"",""bbox"":{""top"":174,""left"":61,""height"":24,""width"":100},""instanceURI"":""https://api.labelbox.com/masks/feature/ckcavln1m3ufv0y6ghtkxg0o9?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2NhdjAyNzdmaHAwMDc3OGNtNW9hbTQ0Iiwib3JnYW5pemF0aW9uSWQiOiJja2NhdjAyNm0wMHVpMDcxNTNhcjEyYjM5IiwiaWF0IjoxNTk0MDYyODIzLCJleHAiOjE1OTY2NTQ4MjN9.wbaVb6C88pFrWNHP59Q2SOp_wEkKehjSeTI0fh-q90Y""}],""classifications"":[]}",manjunathn04@gmail.com,CarDataset,1594062412000,1594062430000,8.592,images_10.jpg,-1,-1,,,Car_num_plate,[],https://editor.labelbox.com?project=ckcav36kp00y60720wmt4e4lz&label=ckcavlop81o8z0y47ffic8zs1
ckcavlvhf3uhk0y6gb8r082ea,ckcav55w85spq0bo85qoy1o77,https://storage.labelbox.com/ckcav026m00ui07153ar12b39%2F6655a911-b0f3-0c8b-5e9f-7bb69539cbd2-images_57.jpg?Expires=1595272423321&KeyName=labelbox-assets-key-1&Signature=U1QxNuM4rMCkd4kSC8_l6-e5g9U,"{""objects"":[{""featureId"":""ckcavltz21o9s0y478ddi2qb0"",""schemaId"":""ckcavegzz3lza0y6fa11y43fh"",""title"":""Car_num_plate"",""value"":""car_num_plate"",""color"":""#FF0000"",""bbox"":{""top"":92,""left"":99,""height"":26,""width"":126},""instanceURI"":""https://api.labelbox.com/masks/feature/ckcavltz21o9s0y478ddi2qb0?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2NhdjAyNzdmaHAwMDc3OGNtNW9hbTQ0Iiwib3JnYW5pemF0aW9uSWQiOiJja2NhdjAyNm0wMHVpMDcxNTNhcjEyYjM5IiwiaWF0IjoxNTk0MDYyODIzLCJleHAiOjE1OTY2NTQ4MjN9.wbaVb6C88pFrWNHP59Q2SOp_wEkKehjSeTI0fh-q90Y""}],""classifications"":[]}",manjunathn04@gmail.com,CarDataset,1594062420000,1594062431000,3.957,images_57.jpg,-1,-1,,,Car_num_plate,[],https://editor.labelbox.com?project=ckcav36kp00y60720wmt4e4lz&label=ckcavlvhf3uhk0y6gb8r082ea
